,id,title,cost,shopAddress,distanceInfo,distance,score,shopName,shopType,tagId,tagName,like
0,1126535473,印度咖喱卡吧酒屋双人套餐免费抽 ,309,望海路1089号南海玫瑰花园2期59号商铺,23km,23894,40,印度咖喱卡吧酒屋,10,10,V专享,1
1,1197551589,岩崎•鮨处(阳光海滨店)单人套餐免费抽,561,蛇口街道后海滨路阳光海滨花园一层148,22km,22174,40,岩崎•鮨处,10,10,V专享,1
2,305360428,花园里·欢乐餐厅(民治店)200元代金券免费抽,200,民治大道468号海韵大厦二楼（优城购物中心对面）,11km,11454,45,花园里·欢乐餐厅,10,10,V专享,1
3,1655515655,吉运炭烤肥牛晚市双人餐免费抽,201,民旺路13号民治第一工业区8栋A1铺,11km,11047,45,吉运炭烤肥牛,10,10,V专享,1
4,1239788078,汕头潮满记粿面馆双人餐免费抽,168,海岸城文心六路OKmall潮流广场1层29-31号,21km,21158,40,汕头潮满记粿面馆,10,0,,0
5,958850192,chooseme初思觅花语茶双人套餐免费抽,140,皇岗公园一街1368国际街区148栋101室,9.8km,9831,40,chooseme初思觅花语茶,10,0,,0
6,1589309112,乐厨餐厅·西北菜双人餐免费抽,138,南山街道创业路3023号凯德公园一号广场裙楼01层21-27号铺,22km,22557,45,乐厨餐厅·西北菜,10,0,,0
7,1769477746,蕴气滋补汤双人餐免费抽,60,大冲一路，大冲商务中心d 座三楼，301-302,19km,19037,35,蕴气滋补汤,10,0,,0
8,1036480528,老马家羊汤羊肉面馆双人餐免费抽,60,南海大道2710-11号,22km,22276,35,老马家羊汤羊肉面馆,10,0,,0
9,652849106,侍燕师·燕窝饮品忘忧2杯免费抽,96,新湖路99号地铁站宝安中心F出口直行200米NOVA电竞馆旁边,25km,25676,40,侍燕师·燕窝饮品,10,0,,0
10,550613242,巴布林双人饮品免费抽,62,文心六路保利文化广场B2-88,21km,21205,30,巴布林,10,0,,0
11,1646639659,DUO 法式甜点招牌臻选双人餐免费抽,138,清林东路119号,19km,19178,45,DUO 法式甜点,10,0,,0
12,502851370,串门深夜食堂晚市双人餐免费抽,188,观澜街道牛湖老二村启明街78-1,17km,17788,40,串门深夜食堂,10,0,,0
13,1877922659,胡记潮牛火锅188元代金券免费抽,188,龙华区宝银坊1楼,14km,14152,40,胡记潮牛火锅,10,0,,0
14,1474364245,谷芋双人饮品套餐4选2免费抽,50,东门街道新园路4号西华宫1楼2-1号,3.8km,3781,35,谷芋,10,0,,0
15,1887075593,唱三锅音乐火锅270元晚市代金券免费抽,270,侨香路华侨城创意园北区A1栋首层106-109号,15km,15236,50,唱三锅音乐火锅,10,10,V专享,1
16,530257313,牛小厨牛肉粿条汤双人餐免费抽,50,罗湖区嘉宾路4003号，水运大厦一楼，金威大厦公交站后面,4.7km,4700,35,牛小厨牛肉粿条汤,10,0,,0
17,1386549477,不陌·BOOMO双人套餐免费抽,90,泰然九路皇冠科技园内,12km,12381,45,不陌·BOOMO,10,0,,0
18,474576253,西子涧双人餐免费抽,242,工业三路1号汇港购物中心L2-03,24km,24655,40,西子涧,10,10,V专享,1
19,731399245,双潭圩桂林米粉经典桂林米粉双人餐免费抽,58,华发北路赛格科技园102栋89号,5.7km,5673,40,双潭圩桂林米粉,10,0,,0
